,,,S3: Which of the following industries do you work in?,,,,,,,Q2: What are the top strategic business priorities for your organization over the next two years?,,,,,,,,,,Q3: Which of the following external trends will have the biggest impact on your business in the next two years?,,,,,,,,,,,,,Q4: Which of these are problems you’re seeing within your organization?,,,,,,,,,,,,,,,,,"Q10: When selecting a consulting firm as part of your organizational and talent strategy, who is involved in the decision-making group?",,,,,,,,,,,,,,,,,,
I agree,"More than 10,000 employees",UK,Consumer markets,,Head,Operations,I am the primary decision maker,"No, I'm not on a Board",,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Profit delivery and restructuring deals to improve competitiveness,No,,1,,1,I am part of a decision making team,1,0,1,0,0,0,0,0,0,,Identify greater profit opportunities based on our unique business context,Risk of lack of ROI or significant in house resource required to deliver,Start with deep knowledge of our business and competitive environment - consulting firms never seem to use all the available information in their pitch,Peers in other businesses,"Internal insight teams, industry bodies and NGOs eg IGD","IFD, WRAP",Very brief newsletters,Watch - but brief videos,"The caterer, the grocer, good business newsletter"
I agree,"More than 10,000 employees",UAE,Industrial Manufacturing,,Chief Financial Officer,Senior Leadership (cross function),I am the primary decision maker,"Yes, I'm on the board of my company","Ensuring effective corporate governance, strategic decision making and risk management",0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,integration of AI and Gen AI automation and resistance to change,Technology and analytics skills and security talent,Talent and organizational consultancy services digital and innovation capabilities,0,6,0,I am the primary decision maker,1,1,0,1,0,0,0,0,0,,supply chain and marketing management,transparency not responsible for its actions poor communication,"Information technology consultancy with innovative and business analytic, growth and mergers",Trade fairs and growth and trust building of existing partners and peers recommendation,Mostly through industry reports with insight through business newsletters,Bloomberg business Newsweek,finance and entrepreneurship insight and in-depth columns of business partners and consultants,Would rather watch and explore through videos and graphics,Bloomberg newsweek
I agree,"More than 10,000 employees",UK,Financial Services,,Chief Transformation Officer,Senior Leadership (cross function),I am the primary decision maker,"Yes, I'm on the board of another company",Balancing Strategic oversight with not overstepping operational boundaries,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,"Strategic Impacr, Financial oversight , stakeholders accountability","Succession Planning, Change Management , Dara driven business decision","Internal Leadership, Chief of staff,external advisor, board committee",0,3 to 7 people,0,I am part of a decision making team,0,1,1,1,0,0,0,0,0,,Building a future ready leadership pipeline,"Lack of organisation fit, Poor stakeholder buy in","Co create and not dictate, Think Like a peer act like a operator",1. First hand behaviour   2.past work with real outcomes   3. Though process over though leadership,Industry and Macro insigh  2.operator and strategic  brain  3. Niche high Signal spaces,"HBR, WSJ",Leadership and Transformation,All,New yor Times. Financial express Netflix Amazon
I agree,"More than 10,000 employees",Saudi Arabia,Industrial Manufacturing,,Head,Senior Leadership (cross function),I am the primary decision maker,"Yes, I'm on the board of my company",Quality and trust,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,This will be better than now,Makes meeting one or more every week,Team of researchers,0,5 people,0,I am the primary decision maker,0,0,0,1,0,0,0,0,0,,Ceo,I want to take the last,All are different but good,Social media and,That is better,No,Snab chat,Yes i do that,Facebook tiktok instagram
I agree,"More than 10,000 employees",UK,Life sciences,,Head,Senior Leadership (cross function),I am the primary decision maker,"No, I'm not on a Board",,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,"More and more VUCA world with more challenges to solve. Improving performance is not sufficient, need to overcome challenges in a changing world.",Showing value and impact from AI  PARTNERING ACROSS VALUE CHAIN   hiring and retaining talent,HR has specific talent acquisition function that have consultants profiles who help select consulting firms.,0,,1,I am aware of the decision-making process or consulted on it but I am not directly involved in it,1,0,1,1,1,0,0,0,0,,Standarised job families and talent profiles,Lack of momentum to implement,They’d apply industry knowledge to solve things in small teams showing impact allowing scale. They will commit to be paid on outcomes.,Past success and customer credentials,"Industry events, published media.",HBR,Organisational behaviour and change management insights.,Read,FT  HBR  WSJ  Academic Journals
I agree,"More than 10,000 employees",UK,Technology,,Chief Technology Officer,Senior Leadership (cross function),I am the primary decision maker,"Yes, I'm on the board of my company",Understanding the fast moving economy and market trends to stay relevant in our sectors,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,We have ambitious targets with respect to market growth and we have internal processes that can get in the way of progress and innovation,Skills in the right locations,We do that internally,0,"10 or less , otherwise nothing gets decided",0,I am part of a decision making team,1,1,0,1,0,0,0,0,0,,Adopting a product portfolio strategy,Costs primarily and in some areas they compete on technology too,"Less PowerPoint, when they turn up with the a team I expect that to be the same team that delivers together with us, not send in the substitutes later. Tangible experience real world experience and not just Harvard theory.",Friends in industry,"Industry forums /events, gartner/forrester/everest etc",Other than what I said previously no,"Industry updates and trends, competitor analysis",Read,IET and industry relevant magazines
I agree,"More than 10,000 employees",UAE,Industrial Manufacturing,,Chief Technology Officer,Human Resources,I am the primary decision maker,"Yes, I'm on the board of my company","Risk management, identifying and mitigating financial, operations and reputational risk",1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Data analytics,To invest massively on GenAI,Chief Executive Officer and Chief technology officer,0,Twelve man commitee,0,I am the primary decision maker,0,0,1,1,1,0,0,0,0,,Cybersecurity,They highly reliable with professional expertise,"It will be digital security systems, to fight against cyber crime and anti fishing.","IBM, Google, Oracle and Microsoft",Google chrome and Microsoft,"Adrian Reed, Barbara Carkenord","Economic, ecosystem, global market and political contents",Watch and read mostly,"Youtube, tiktok, Facebook, X, Instagram and wathssap"
I agree,"More than 10,000 employees",United States,Financial Services,,Head,Senior Leadership (cross function),I am the primary decision maker,"Yes, I'm on the board of my company",Handle conflicts and politics,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,"Luck of productivity , luck of motivation","Functional and operational expenses as organisation, motivate people as a team",Strategy team and CEO office,0,5 people,0,I am the primary decision maker,0,0,0,1,0,0,0,1,0,Strategy team,"Digital transformation, EI challenges",Cost & realistic implementation,"Propose realistic solutions , time of implementing, reasonable cost","Market insights , personal opinion , successful references","Industry reports, references ,",Industry publications,Success stories from companies of relevant activities,All together,"LinkedIn, industry sites"
I agree,"More than 10,000 employees",UK,Consumer markets,,Head,Senior Leadership (cross function),I am part of a decision-making team,"Yes, I'm on the board of my company",Marrying the needs of the business along with those of the board members,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,Feeling the pressure to acquire new customers and recruit an engaged network that have re-adopted a full time office week,Yes around AI and tech we have gaps so we are working to plug the gaps there,Myself and my team at a first pass then we recruit a third party to assist.,0,5 people 3 from SLT and two from the direct Talent team,0,I am part of a decision making team,1,1,1,0,0,0,1,0,0,,Help to sell in the need for AI based solutions across the business.,Cost implications or pushback from internal stakeholders,"They would operate as an extension of our team, no longer business to consultancy but all acting as the same business. Teams would work from one another’s respective office",Client referral   Reputation   Awards   Direct working experience,Business of fashion   Vogue business   Guardian   Sunday times   Drapers,WGSN  BOF   New Your Times   Huffington Post,Emails   Podcasts   Campaigns,Watch and listen so I can see live examples,Podcasts   Newspapers   Social media
I agree,"More than 10,000 employees",Australia,Consumer markets,,Head,Senior Leadership (cross function),I am part of a decision-making team,"No, I'm not on a Board",,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Generating outcomes in a highly regulated environment which is becoming more and more regulated every year.,"Yes, there is a high degree of variance in capability level across business units.",Internal strategy teams who are ex-consulting background,0,About 5-6 decision making people,0,I am part of a decision making team,0,1,1,1,0,1,1,0,0,,Productivity increase across organisation,Most of the solutions can be thought of and implemented in-house,Someone embedded in the organisation from a long time,Real work example showing tangible benefits,"Transformation partners, overseas players in same industry etc.",Not any in particular,Nothing specific as such,A bit of all to suit lifestyle,Mostly print (online)
I agree,"More than 10,000 employees",UAE,Life sciences,,Head,Senior Leadership (cross function),I am the primary decision maker,"Yes, I'm on the board of my company",Leadership and  trustworthy,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,Sustainability,Nothing,Director,0,10,0,I am the primary decision maker,0,0,0,1,0,0,0,0,0,,Being sustainability,Increasing client demand,Problem solving and critical thinking,Quality of service,LinkedIn is powerful,Yes,Sustainability of work,Yes always,Facebook
I agree,"More than 10,000 employees",Saudi Arabia,Technology,,Senior VP,Senior Leadership (cross function),I am the primary decision maker,"Yes, I'm on the board of my company",business strategy & diversity implementation,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,skills update and synchronization with new emergence,skills development and strategical thinking,think tank hubs,0,20,0,I am the primary decision maker,0,0,1,1,1,1,1,0,0,,Critical thinking and right decision implementation,time delays in implementations,business leaders with clear vision and strategy,Group data sharing and continuous improvements,Seminars workshops and think tank journals,business magazines and reports on current scenarios,Modern business and technological advanced media,yes we continuously explore new ideas,Technology magazines and business hubs reports
I agree,"More than 10,000 employees",Australia,Financial Services,,Senior VP,Senior Leadership (cross function),I am the primary decision maker,"No, I'm not on a Board",,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Customer experience. We have been tasked with implementing a Voc system and new customer metrics which will require all of org change to meet.,At the moment voc. Implementing nps and customer listening loops across the org at all levels.,Strategy team,0,steering co is around 5 people,0,I am part of a decision making team,0,0,1,0,0,0,0,0,0,,Acceleration of of customer agenda,Balancing the strategic imperative with the weight of bau activities. Making room and capacity to enact the change when we have other kpi’s and commitments to make.,People centred. Approachable. Leverage global network. Provide capabilities and tools not just act in advisory capacity. Embed in organisation.     Difference is to provide us with tools and systems not just papers.,My network in internal recommendations,Forester. Bain. Some newsletters,Daniel Pink,Forrester,Listen as can do asynchronously and read papers when mandated,None business related. Try and keep work and leisure separate
I agree,"More than 10,000 employees",Australia,Financial Services,,Senior VP,Sales,I am part of a decision-making team,"No, I'm not on a Board",,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Local-global / global-local alignment ie. between US HQ and regions for product development and organisational structure / efficiency can improve as we grow and pursue stretch goals.,Product development within regions,,1,,1,I am not involved in the decision-making process,0,0,0,0,0,0,0,0,1,,Organisational alignment between divisions (where there are shared OKRs) and between global-local.,Lack of capability internally to execute or lack of genuine willingness to change the status quo.,Knew our business deeply and were experienced in execution post strategy delivery.,Previous clients,Networking and publications from Industry associations and Institute of company directors inclusing case studies.,No comment,Noncomment,"Personally, read",Financial Review
I agree,"More than 10,000 employees",Australia,Financial Services,,Deputy Head,Sales,I am part of a decision-making team,"No, I'm not on a Board",,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,Growing market share while minimising balance sheet usage and reducing the cost base,The right people to connect origination into a distribution framework that itself needs to grow and evolve,We tend to RFI firms that have done work with us before and may add the odd new name that is a known specialist in a specific field,0,"While it comes down to 2 final decision makers, the RFI process is delegated to a project team of usually 2-5 made up of SMEs & business leaders",0,I am part of a decision making team,0,1,1,0,0,0,0,1,0,Regional HR & Regional CEO,Best practice for linking origination to distribution across private capital markets and banking book assets,Solutions not being bespoke for our organisational model & technological capability,Bring genuine insights on best practice that is specifically tailored to our own operational framework & resources,Previous experience (own or trusted partners)  Demonstrated understanding of us and of the issues at RFI stage with appropriate examples,Multiple sources,Inhouse specialist research and Morgan Stanley,as previous when specifically relevant,Read,various from across the broad scope of financial research including in the alternatives space
I agree,"More than 10,000 employees",UK,Industrial Manufacturing,,Head,Procurement,I am part of a decision-making team,"No, I'm not on a Board",,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,short term savings ambitions,"different or non-transparent KPIs among departments, which need to be collaborating","each department or operational team can look for external consultancy support, and they do it for themselves",0,2-3,0,I am part of a decision making team,0,0,1,0,1,0,0,0,0,,"too many challenges parallel, unable to pick any as the most important one",nothing stops us when a process started,significant market experience or knowing our corporate culture inside out,direct one-to-one discussion and quality of delivered recommendations,industry reports  paid and free market intelligence  direct info collected from vendors,BCG  StoneX  Argus  Heren  BNP Paribas,everything related to the team workload and challenges,1. listen  2. watch  3. read,BCG  StoneX  BNP Paribas  Argus  Heren
I agree,"More than 10,000 employees",Australia,Consumer markets,,Head,Senior Leadership (cross function),I am part of a decision-making team,"No, I'm not on a Board",,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,"Mine reign through all the different depts within the organisation & the internal political beliefs IE there are multiple digital media units within sites. Have a project to introduce another, however navigating costs, timelines & trying to utilise an existing player, where various depts have single minded views ie WIFM","Absolutely- 3 Business coming together as 1 has produced many challenges, esp when so many restructures have had to occur so much IP lost & each business think ther way is the best.  Need team to understand that the 1 team mentality is best",Talent & acquisition Team,0,Between 4- 10 depending on amount that requires sign off,0,I am part of a decision making team,0,0,1,0,1,0,0,0,0,,Provide talent pipeline mid tier mgt,Sometimes it comes down to cost & if they can offer anything up & above what could be handles in house,"1. Have skin in the game & understand brief   2. Dependent on brief, offer alternative solutions / processes   3. Stick to time lines",Commercially data driven information,All of the above,No one specific,"Dependant on relevance - can be from LinkedIn, news articles, followers",Combination of read & listen,Various content creators on linked In
I agree,"More than 10,000 employees",UK,Consumer markets,,Head,Senior Leadership (cross function),I am the primary decision maker,"No, I'm not on a Board",,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Changing priorities and lack of alignment on priorities cross functional causes friction and pressure on delivering to expectation especially where there is reliance on other functions contributing,Balancing short term tactical vs strategic mid to long term decisions. With continued pressures and changing retail environment more emphasis is placed on short term at the detriment of long term decision,Insights team,0,Decision or short listing done across the teams usually 2-3 ppl however depending on the budget requires board sign off.,0,I am the primary decision maker,1,1,1,1,0,1,0,0,0,,Uk tech market sizing and competitor performance tracking,Budget and resource internally to manage the project.,Industry or project related experience rather than a consultant which claims to be experts on all.,Previous experience with consultants and individuals with the firm,"BRC Retail Monitirs, KMPG reports, Mintel, GFK. Nielson as well as competitor financial results",Consumer confidence,Market share and market performance by category,Read,"BRC retail monitor, Mintel"
I agree,"More than 10,000 employees",Australia,Financial Services,,VP,Senior Leadership (cross function),I am the primary decision maker,"Yes, I'm on the board of another company",Relating and governance,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,Organizational ignorance creates resistance,Cultural change,Not sure what the question is,0,3-5,0,I am the primary decision maker,0,1,0,1,0,1,0,0,0,,Cultural uplift,Several issue including data discrepancies and skills shortage,Advice,Peer evaluation,Why so many of these free questions,No,All,All,Jobe
I agree,"More than 10,000 employees",Australia,Healthcare,,Chief Executive Officer,Senior Leadership (cross function),I am the primary decision maker,"Yes, I'm on the board of my company",Governance- keeping up with changing legislation  Future proofing the business  Dealing with current global uncertainty,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,Organic innovation,Quality resources  AI resources,Strategy team,0,4-5,0,I am the primary decision maker,0,1,1,1,0,0,0,0,0,,How to innovate organically,"Coat, lack of execution",They would actually implement findings,Top strategic consultant firms,"Podcast, HBR",MCKinsey quarterly,Not much other than HBR,Listen,"HBR, AFR"
I agree,"More than 10,000 employees",United States,Life sciences,,VP,Senior Leadership (cross function),I am the primary decision maker,"No, I'm not on a Board",,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,Return to Office,Thriving in a time of uncertainty,Team of experts,0,3-5,0,I am part of a decision making team,1,0,1,0,1,0,0,0,0,,Keeping employees engaged during unsettled times,I question whether the recommendation will actually deliver the outcome needed,They should be solutions oriented (not just trying to sell me business).  They should show me long term case studies of where their work actually delivered long term outcomes (they mostly show short term outcomes),Opinion of peers,I talk to a cross section of many different people often in different industries or areas of expertise.,No,"Simon Sinek, Brene Brown",Watch and Listen,"WSJ, Linkedin, YouTube"
I agree,"More than 10,000 employees",Australia,Financial Services,,Chief Information Officer,Senior Leadership (cross function),I am the primary decision maker,"No, I'm not on a Board",,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,Balance of flexibility for staff and remote working versus building a strong culture that requires presence in location. Change fatigue and demand on skilled workforce for now and future needs,New technology and application of AI and ability to transform for the future,My leaders do that with the assistance of HR and myself,0,Usually less than 10 with the final decision been 1,0,I am the primary decision maker,1,1,1,1,0,1,0,0,0,,Building talent for the future,Cost usually and complexity of implementation and culture shifts needed,"They would be working as a partner that is looking to add value towards your company goals of growth, customer experience, cost out and innovation and making the organisation future fir","Legal, financial and reputation  and reference","Consultants, peers and others in the industry globally, newsletters and publications and one research","Usually the MIT, Harvard, Stanford and other local nes and industry specialists and large companies","It’s is very broad, publications, online, university publications, industry releases, large key companies that publish info and tech sites",I like a mix of all 3 as they engage differently and inspire different ly,"MIT, economist, WAJ and industry specific"
I agree,"More than 10,000 employees",Australia,Technology,,Chief Sales Officer,Senior Leadership (cross function),I am the primary decision maker,"Yes, I'm on the board of another company","Balancing the needs of members, the public and the shareholders",1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Market growth and expansion in a contracting marketplace and political changes,Ai adoption and implementation including the risks associated with,Others within my team,0,6-10,0,I am part of a decision making team,1,1,1,1,0,0,0,0,0,,Understanding the risks of AI and ensuring the business case stacks up,"Too much complexity, not enough actionable takeaways, papers are too long and broad","Industry experts, know your business, brings best in class as it would work for our organisation and not in every organisation.",Peers,"Industry reports such as IBIS, F&S etc",F&S,"Latest in the media, industry reports and select reading",Listen,The company arranges these
I agree,"More than 10,000 employees",Australia,Life sciences,,Chief Executive Officer,Senior Leadership (cross function),I am the primary decision maker,"Yes, I'm on the board of my company",1. Delivering growing dividends to the shareholders   2. Keeping working capital metrics within range acceptable to company  3. Determining the best use of cash eg acquisition or other uses   4. Growing business internationally,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,"Delivering profitable growth.   We are expected to deliver growth in sales and profit and EBITDA % but we have to cut spending, then COGS are increasing and supply chain is becoming erratic due to lack of availability of the ingredients (API) to make the medicines, likewise we have Gen Z challenges who are less productive than prior generations and don’t want to work hard. All these together puts pressure on our decisions.","Yes. Biggest gap is Gen Z lack of productivity and engagement. They want high salaries, they want flexibility, they get upset when given feedback they don’t like, they change jobs too easily. This is something we have to address fast. This is evident at salesforce level especially.","Definitely it’s the HR Director. Together we determine objectives of the research and what we hope to get out of it, but it’s the people and culture head that implements it and reports back to the leadership team on the outputs.",0,Only the CEO and the HR Head. But the LT are kept updated throughout the process. But actual decisions are HR and CEO.,0,I am part of a decision making team,0,0,1,1,1,0,0,0,0,,The inter generational gap. Ie How to get the best out of Gen Z when their managers are Gen X who grew up in a different time period.,"Practicality of implementation of the recommendations. Sometimes recommendations are great on paper but cannot be applied, and when applied I’ve seen recommendations not implemented well and eventually reversed. So consulting firms need to also understand how to implement and who will implement and who is accountable and responsible for the implementation. Likewise they need to be able to measure success of the implementation.",Consulting firms are great for idea generation especially ones that push the boundaries. Then I would need someone in the consulting firm that understands our industry who can help implement the recommendation. Understanding nuance of the industry is very critical to choosing a consulting partner.,1. Checking with colleagues who have used these partners in the past. 2. Evidence of projects designed and how they were implemented. 3. Reputation of the partner.,"There are many online sources as well as JP a Morgan Healthcare conference, but for me it must be specific to pharmaceutical industry.","None specific, I prefer to use multiple sources to get different perspectives, I  never use just one source, because each source is just the perspective of the writer and different writers have different perspectives, so i prefer to read multiplied sources.",Harvard Business Review articles and case studies from the large corporations,HBR articles are practical but I prefer short videos where the narrator explains the concepts,"New York Times, Harvard business review"
I agree,"More than 10,000 employees",Australia,Consumer markets,,Head,Senior Leadership (cross function),I am part of a decision-making team,"No, I'm not on a Board",,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,Driving headline sales in a challenged environment.  Reducing CODB in an inflationary environment.   Rise of online sales and the high cost of fulfilment and limited competition.,Not critical. However individual capability gaps and a focus on how you utilise AI in a meaningful way.,"Key decision makers involved in the project, likely to use companies close to the business who have a reputation on successful projects in the past. research will be mainly through network.",0,depends on the SOW and project and the cost. at least 5 people will be involved in the decision.,0,I am part of a decision making team,0,0,1,1,0,0,0,0,0,,How to implement AI in a meaningful way which can reduce cost and drive productivity.,"Cost, complexity to implement, how a tool or proposal could be used/ implement when the consulting firm leave.","Inbed themselve in the org and the problem, dont just run from meeting to meeting and present. Truly understand the issues in place and not just old work in a new fashion.","Network, Name and market rep, historical projects in Coles","Network, supply base and vendor base, emails, reports, email.","Morgan Stanley analysts in the AU market, AFR.","AFR articles, supplier presentations.",watch and listen,AFR
I agree,"More than 10,000 employees",United States,Technology,,Chief Technology Officer,Senior Leadership (cross function),I am part of a decision-making team,"Yes, I'm on the board of my company",Ensuring the tech we invest in pays good returns.,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,In leadership duties.,None whatsoever.,I do it mostly.,0,5,0,I am part of a decision making team,0,1,0,0,0,1,0,0,0,,Any generative AI project.,Over exaggerating on their accomplishments. I know they try selling their candidates with excessive skills.,No excessive bragging of skills. Answer questions during interviews appropriately and have a good history of productive candidates.,My own knowledge of consulting companies.,Use our own learning materials.,Thats personal choice. Nothing forced by the company.,-,ChatGPT is best for this.,None.
I agree,"More than 10,000 employees",Australia,Consumer markets,,VP,Procurement,I am part of a decision-making team,"No, I'm not on a Board",,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"Geopolitical tensions Amin’s the Tariff ordeal and the impact on growth, consumer offtake and supply chains",How we equip the teams to navigate the uncertainties due to tariff negotiations and how to make use of the market uncertainties to fix materials prices,A combination of the strategy teams and procurement,0,Around 4 people,0,I am part of a decision making team,1,1,1,1,0,0,0,0,0,,Driving short term optimisation pipeline,Times and cost to implement,They need to balance the short term and long term requirements of the organisation to enable tailored solutions that are agile to implement and deliver benefits,"Previous experience, word of mouth success stories","Many channels such as reports, network, newsletter",Nothing specific,"Case studies from the various business units around the world, certain articles relevant to our industry, partners news","There is value in varying the channels to include reading, watching and listening","Several content services, LinkedIn,"
I agree,"More than 10,000 employees",United States,Technology,,Senior VP,Senior Leadership (cross function),I am the primary decision maker,"No, I'm not on a Board",,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,"Getting people to take the long view and understand the right incremental measurements to get there. For instance, we have piloted a lot of AI use cases, but our hit rate doesnt seem to be what we would expect, as well as impact of the investments, and that seems to be a people issue.",Trying to get people and parts of the organization to focus on capabilities and how to do work in a new form or fashion rather than incrementally improving things with minor efficiencies.,"I am involved heavily in the research of who we use, but engage cross functional experts and peers for the right fit with consultancies and more specifically, the right talent from those consultancies.",0,"5 to 7.  Executive sponsor, procurement, finance, functional stakeholder, subject matter expert.",0,I am part of a decision making team,1,1,1,1,1,1,1,0,0,,Refining our digital strategy,Its usually time and budget that takes the biggest time to move.,I would focus on the expert ecosystem and network access and focus the commercial models on being flexible and outcome aligned.,"Recommendations, past results.","A mix of it all, it really depends on the topic and content.  The most trusted usually comes from people that they know and respect that have specific expertise.","HBR, the Economist, a16z, gartner, Rita McGrath, Andrew Ng","Its less one source, and more things that are quickly consumed and relate to our business.",Read,Mostly digital media
I agree,"More than 10,000 employees",UK,Consumer markets,,VP,Senior Leadership (cross function),I am part of a decision-making team,"Yes, I'm on the board of another company",Balancing the need to act as a governing body and input on strategic matters while not overstepping on execution / operational matters.,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,I am both in charge of ongoing business and innovation funnel.  I often need to make trade offs that prioritize the short term business needs (annual plan targets) vs the strategic direction (strategic plan),"Gen AI, people understands the opportunity but we struggle to systematically embed in existing processes, including with our partner agencies.",I would partner with a functional senior director that is closer to the topic. Specifically for talent strategy that would obviously be HR. But i would also discuss this as a leadership team to collate previous experience for the rest of the multifunctional teams.,0,"for matters related to my business unit, that would be me and my functional senior director, supported by the rest of my leadership team,",0,I am part of a decision making team,0,1,1,0,1,0,1,0,0,,"Embed Gen AI in core marketing processes, without creating new layers and avoiding change fatigue",great strategic advice but lack of operational support to make it happen at scale (not a pilot),they would need to reassure me that they have 3 elements:  1) the vision to truly understand the big picture  2) the expertise to make very pointed recommendations  3) the skin in the game to help me making it happen - at scale -,my immediate network and my business partner,"newsletters, industry reports, market intelligence",not specifically,"most often, content coming from existing partner agencies and advisors","read first to 'sieve', then watch to go deep.",Harvard Business School  Newsletter from BCG and McKinsey  Financial Times  Marketing Week
I agree,"More than 10,000 employees",Australia,Financial Services,,Chief Revenue Officer,Sales,I am part of a decision-making team,"No, I'm not on a Board",,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Revenue Targets & resource support,Key skill sets in certain areas,HR & Specialist Hiring Unit,0,6,0,I am part of a decision making team,1,0,1,0,0,0,0,0,0,,Open more Sales & Networking Opportunities,When they lack domain knowledge or lack of relevant business application,"They would be able to provide Advice, implementation & run and have commercial 'skin in the game'...",Other Client References,Specific Consultants & research firms,"Gartner, ISG","White Papers, Industry Papers, Industry Forums",Industry White Papers,"AFR, Money Magazine, Technology Journals, internal research Teams, Regulatory Forums"
I agree,"More than 10,000 employees",UK,Industrial Manufacturing,,Chief Executive Officer,Senior Leadership (cross function),I am the primary decision maker,"No, I'm not on a Board",,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"The availability of talent, at the right price, to support ou conquest plans.  why at the right price ? the shortage of talent with the right skills is leading to indecent an unjustified package, which is putting pressure on remuneration policies and existing staff.",we've potential capability gaps at all levels of the organization that's the reason why we're working on succession plans.,"It's a team work with my closest leaders, depending the problem we've to solve.",0,5 max,0,I am the primary decision maker,0,0,1,1,1,0,1,0,0,,1- talent acquisition  1bis- m&a opportunities,1- lack of efficiency & knowledge in our specific industry  2- available budget,1- deep/decent knowledge of our industry  2- personalised approach,"internal, business network","1-business networks (local, international, ...)  2-industry insight (professional group, association, ...)  3-banc","UK construction insight (CPA)  S&P Global (DC mkt)  an many very speciic publications (raw mat, local business ops, ...)",Project data bases,read,Business newspaper
